static:
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                  10       0.000000	       0.000000	       0.000000
            wc_files:                   2       0.050000	       0.000000	       0.000000
            wc_files:                   2       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.020000	       0.000000	       0.000000
        remove_block:                   1       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                 100       0.000000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
            wc_files:                   3       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
        remove_block:                   5       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                  10       0.000000	       0.000000	       0.000000
            wc_files:                   1       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.040000	       0.000000	       0.000000
            wc_files:                   1       0.000000	       0.000000	       0.000000
            wc_files:                   1       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.020000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                  10       0.010000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
            wc_files:                   2       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.000000	       0.000000	       0.000000
        remove_block:                   1       0.000000	       0.000000	       0.000000
        remove_block:                   0       0.000000	       0.000000	       0.000000
        remove_block:                   2       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                  10       0.000000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
        remove_block:                   0       0.000000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
        remove_block:                   0       0.000000	       0.000000	       0.000000
            wc_files:                   1       0.000000	       0.000000	       0.000000
        remove_block:                   0       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
shared:
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                  10       0.010000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
            wc_files:                   2       0.020000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
        remove_block:                   1       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
             COMMAND:                ARGS      REAL_TIME	      USER_TIME	    SYSTEM_TIME
        create_table:                 100       0.000000	       0.000000	       0.000000
            wc_files:                   2       0.010000	       0.000000	       0.000000
            wc_files:                   3       0.010000	       0.000000	       0.000000
            wc_files:                   1       0.010000	       0.000000	       0.000000
        remove_block:                   5       0.000000	       0.000000	       0.000000
        delete_table:                FREE       0.000000	       0.000000	       0.000000
